,County,State,Year,Population,Pop_percent_change,Fatalities,intensity
212,Raga,Western Bahr el Ghazal,2013,64334.99999999999,0.033745239760627856,33.0,5.129400792725577
213,Renk,Upper Nile,2013,183601.0,0.0339867429915959,22.0,1.1982505541908812
214,Rubkona,Unity,2013,135220.0,0.047470788344919496,358.0,26.47537346546369
215,Rumbek Centre,Lakes,2013,207053.0,0.042259711281652526,129.0,6.230288863237915
216,Rumbek East,Lakes,2013,162798.0,0.04095259155517881,0.0,0.0
217,Rumbek North,Lakes,2013,58599.0,0.03928394682503114,1.0,0.1706513763033499
218,Tambura,Western Equatoria,2013,72162.0,0.04326376763393476,1.0,0.13857709043540922
219,Terekeka,Central Equatoria,2013,189872.0,0.041801845453779386,0.0,0.0
220,Tonj East,Warrap,2013,157054.0,0.04146344569383779,0.0,0.0
221,Tonj North,Warrap,2013,227069.0,0.06384843373600095,138.0,6.07744782422964
222,Tonj South,Warrap,2013,117813.0,0.04499503450383235,30.0,2.546408291105396
223,Torit,Eastern Equatoria,2013,135055.0,0.04290844470771178,16.0,1.1847025285994595
224,Twic,Warrap,2013,276077.0,0.040564769973594324,29.0,1.05043158249329
225,Twic East,Jonglei,2013,114868.0,0.04191767942333809,94.0,8.183306055646481
226,Ulang,Upper Nile,2013,115797.0,0.019853709508881923,27.0,2.331666623487655
227,Uror,Jonglei,2013,241622.0,0.04219400551274304,0.0,0.0
228,Wau,Western Bahr el Ghazal,2013,204779.0,0.042294375888152595,50.0,2.441656615180267
229,Wulu,Lakes,2013,56592.0,0.04258552445575346,0.0,0.0
230,Yambio,Western Equatoria,2013,205937.0,0.04446019899289588,0.0,0.0
231,Yei,Central Equatoria,2013,271390.0,0.04422417922546899,0.0,0.0
232,Yirol East,Lakes,2013,90005.0,0.041675462474306986,0.0,0.0
233,Yirol West,Lakes,2013,142422.0,0.04272514077881226,8.0,0.5617109716195532
234,Abiemnhom,Unity,2014,24080.0,0.0364202657807309,0.0,0.0
235,Akobo,Jonglei,2014,191996.0,0.04096439509156441,8.0,0.4166753474030709
236,Aweil Centre,Northern Bahr el Ghazal,2014,57442.0,0.021743671877720135,1.0,0.17408864593851187
237,Aweil East,Northern Bahr el Ghazal,2014,436824.0,0.04365602622566526,3.0,0.06867754518982473
238,Aweil North,Northern Bahr el Ghazal,2014,184654.0,0.05713388282950816,0.0,0.0
239,Aweil South,Northern Bahr el Ghazal,2014,102639.0,0.04247897972505578,0.0,0.0
240,Aweil West,Northern Bahr el Ghazal,2014,230777.0,0.03435351009849335,31.0,1.3432881093003202
241,Awerial,Lakes,2014,66441.0,0.039975316446170285,3.0,0.4515284237142728
242,Ayod,Jonglei,2014,196759.0,0.03954584034275433,312.0,15.856962070350022
243,Baliet,Upper Nile,2014,69782.0,0.05765097016422573,37.0,5.302226935312832
244,Bor South,Jonglei,2014,311976.0,0.040660178988127293,517.0,16.571787573403082
245,Budi,Eastern Equatoria,2014,138097.0,0.0416808475202213,3.0,0.21723860764535075
246,Canal/Pigi,Jonglei,2014,138299.0,0.03014483112676158,68.0,4.916882985415657
247,Cueibet,Lakes,2014,166065.0,0.040231234757474484,142.0,8.55086863577515
248,Duk,Jonglei,2014,92098.0,0.042867380399140044,76.0,8.252079306825339
249,Ezo,Western Equatoria,2014,109439.0,0.04785314193294895,1.0,0.09137510393918073
250,Fangak,Jonglei,2014,155636.0,0.04155208306561464,128.0,8.22431828111748
251,Fashoda,Upper Nile,2014,51465.0,0.04101816768677742,0.0,0.0
252,Gogrial East,Warrap,2014,140868.0,0.015553567879149275,0.0,0.0
253,Gogrial West,Warrap,2014,343953.0,0.03839768805621698,8.0,0.2325899178085378
254,Guit,Unity,2014,48878.0,0.04636032570890789,43.0,8.79741396947502
255,Ibba,Western Equatoria,2014,58769.0,0.04109309329748677,0.0,0.0
256,Ikotos,Eastern Equatoria,2014,120495.0,0.04082327067513175,0.0,0.0
257,Juba,Central Equatoria,2014,638799.0,0.21362901319507388,104.0,1.6280551472372373
258,Jur River,Western Bahr el Ghazal,2014,180004.0,0.03951578853803249,206.0,11.444190129108241
259,Kajo-keji,Central Equatoria,2014,214827.0,-0.23880610910174233,2.0,0.09309816736257547
260,Kapoeta East,Eastern Equatoria,2014,257519.0,0.04162799638084957,0.0,0.0
261,Kapoeta North,Eastern Equatoria,2014,143947.0,0.04054269974365565,0.0,0.0
262,Kapoeta South,Eastern Equatoria,2014,112253.0,0.041148120762919474,23.0,2.0489430126589045
263,Koch,Unity,2014,106521.0,0.03383370415223289,0.0,0.0
264,Lafon,Eastern Equatoria,2014,148485.0,0.04148567195339597,0.0,0.0
265,Lainya,Central Equatoria,2014,125702.0,0.03917200999188557,0.0,0.0
266,Leer,Unity,2014,74599.0,0.042198957090577624,51.0,6.836552768803871
267,Longochuk,Upper Nile,2014,90756.0,0.035909471550090354,70.0,7.7129886729252055
268,Luakpiny/Nasir,Upper Nile,2014,296148.0,0.03761295028161595,156.0,5.267636452044248
269,Maban,Upper Nile,2014,61988.0,0.056398012518551977,62.0,10.001935858553269
270,Magwi,Eastern Equatoria,2014,237224.0,0.0423818837891613,0.0,0.0
271,Maiwut,Upper Nile,2014,113831.0,0.04586624030360798,3.0,0.2635485939682512
272,Malakal,Upper Nile,2014,178423.0,0.040269471985114026,207.0,11.60164328589924
273,Manyo,Upper Nile,2014,46429.0,-0.05778715888776411,35.0,7.538391953305046
274,Maridi,Western Equatoria,2014,116108.0,0.041263306576635544,13.0,1.1196472249974163
275,Mayendit,Unity,2014,72832.0,0.04344244288224956,5.0,0.686511423550088
276,Mayom,Unity,2014,174058.0,0.06353054728883475,270.0,15.512070689080652
277,Melut,Upper Nile,2014,69026.0,0.036725291918987046,91.0,13.183438124764582
278,Morobo,Central Equatoria,2014,102475.0,-0.3308221517443279,0.0,0.0
279,Mundri East,Western Equatoria,2014,68207.0,0.04210711510548781,0.0,0.0
280,Mundri West,Western Equatoria,2014,47546.0,0.04259033357169899,17.0,3.5754847936734953
281,Mvolo,Western Equatoria,2014,68226.0,0.04637528215049981,3.0,0.4397150646381145
282,Nagero,Western Equatoria,2014,14094.0,0.04101035901802185,0.0,0.0
283,Nyirol,Jonglei,2014,153751.0,0.04212655527443724,0.0,0.0
284,Nzara,Western Equatoria,2014,92390.0,0.04012338997727027,0.0,0.0
285,Panyijiar,Unity,2014,71485.0,0.04220465831992726,90.0,12.590053857452611
286,Panyikang,Upper Nile,2014,63036.0,0.048305730059013896,440.0,69.80138333650612
287,Pariang,Unity,2014,115859.0,0.0399451056888114,214.0,18.47072734962325
288,Pibor,Jonglei,2014,209590.0,0.04082255832816451,0.0,0.0
289,Pochalla,Jonglei,2014,93504.0,0.040597193702943186,40.0,4.277891854893908
290,Raga,Western Bahr el Ghazal,2014,65685.0,0.020552637588490633,37.0,5.63294511684555
291,Renk,Upper Nile,2014,192920.0,0.04830499688990255,195.0,10.107816711590297
292,Rubkona,Unity,2014,141431.0,0.043915407513204316,1401.0,99.05890504910522
293,Rumbek Centre,Lakes,2014,215962.0,0.04125262777710893,88.0,4.074790935442346
294,Rumbek East,Lakes,2014,169575.0,0.03996461742591773,264.0,15.568332596196372
295,Rumbek North,Lakes,2014,61048.0,0.04011597431529289,231.0,37.83907744725462
296,Tambura,Western Equatoria,2014,75749.0,0.04735376044568245,2.0,0.2640298881833424
297,Terekeka,Central Equatoria,2014,187686.0,-0.011647112730837676,20.0,1.065609581961361
298,Tonj East,Warrap,2014,164127.0,0.04309467668330013,3.0,0.18278528212908296
299,Tonj North,Warrap,2014,236110.0,0.038291474312820296,23.0,0.9741222311634408
300,Tonj South,Warrap,2014,122969.0,0.04192926672576015,238.0,19.35447145215461
301,Torit,Eastern Equatoria,2014,140637.0,0.039690835270945767,60.0,4.266302608844045
302,Twic,Warrap,2014,285835.0,0.034138576451449264,114.0,3.988314936939143
303,Twic East,Jonglei,2014,119829.0,0.04140066261088718,28.0,2.3366630782197966
304,Ulang,Upper Nile,2014,120848.0,0.04179630610353502,0.0,0.0
305,Uror,Jonglei,2014,251560.0,0.039505485768802674,183.0,7.27460645571633
306,Wau,Western Bahr el Ghazal,2014,213758.0,0.04200544541023026,6.0,0.2806912489824942
307,Wulu,Lakes,2014,59030.0,0.04130103337286126,0.0,0.0
308,Yambio,Western Equatoria,2014,214662.0,0.04064529353122583,2.0,0.09316972729220821
309,Yei,Central Equatoria,2014,278004.0,0.02379102458957425,9.0,0.3237363491172789
310,Yirol East,Lakes,2014,93900.0,0.041480298189563364,0.0,0.0
311,Yirol West,Lakes,2014,147946.0,0.037337947629540506,7.0,0.47314560718099846
312,Abiemnhom,Unity,2015,31683.0,0.23997096234573745,0.0,0.0
313,Akobo,Jonglei,2015,188273.0,-0.01977447642519108,56.0,2.9744041896607585
314,Aweil Centre,Northern Bahr el Ghazal,2015,87394.0,0.3427237567796416,0.0,0.0
315,Aweil East,Northern Bahr el Ghazal,2015,431148.0,-0.013164852904339113,4.0,0.09277556662677318
316,Aweil North,Northern Bahr el Ghazal,2015,206227.0,0.10460802901656913,0.0,0.0
317,Aweil South,Northern Bahr el Ghazal,2015,100235.0,-0.023983638449643338,0.0,0.0
318,Aweil West,Northern Bahr el Ghazal,2015,234997.0,0.017957676055439006,36.0,1.5319344502270242
319,Awerial,Lakes,2015,70333.0,0.055336755150498344,0.0,0.0
320,Ayod,Jonglei,2015,205460.0,0.04234887569356566,283.0,13.773970602550376
321,Baliet,Upper Nile,2015,102762.0,0.32093575446176603,5.0,0.4865611802027987
322,Bor South,Jonglei,2015,325643.0,0.041969273099682784,37.0,1.1362135835869343
323,Budi,Eastern Equatoria,2015,141506.0,0.024090851271324185,2.0,0.14133676310545135
324,Canal/Pigi,Jonglei,2015,142551.0,0.02982792123520705,15.0,1.0522549824273417
325,Cueibet,Lakes,2015,171516.0,0.03178129154131393,38.0,2.2155367429277737
326,Duk,Jonglei,2015,95443.0,0.03504709617258468,9.0,0.9429711974686463
327,Ezo,Western Equatoria,2015,113365.0,0.03463150002205266,4.0,0.3528425881003837
328,Fangak,Jonglei,2015,159893.0,0.026624054836672024,0.0,0.0
329,Fashoda,Upper Nile,2015,47524.0,-0.08292652133658783,24.0,5.050079959599361
330,Gogrial East,Warrap,2015,144706.0,0.026522742664436858,21.0,1.4512183323428194
331,Gogrial West,Warrap,2015,311870.0,-0.10287299195177478,39.0,1.2505210504376822
332,Guit,Unity,2015,38436.0,-0.27167239046727026,95.0,24.716411697367054
333,Ibba,Western Equatoria,2015,59867.0,0.018340655118846777,0.0,0.0
334,Ikotos,Eastern Equatoria,2015,107072.0,-0.12536424088463838,3.0,0.2801852958756725
335,Juba,Central Equatoria,2015,528544.0,-0.20860136526003512,165.0,3.1217836168795787
336,Jur River,Western Bahr el Ghazal,2015,142329.0,-0.2647036092433728,11.0,0.7728572532653218
337,Kajo-keji,Central Equatoria,2015,272878.0,0.21273609451842948,11.0,0.4031105475707093
338,Kapoeta East,Eastern Equatoria,2015,240403.0,-0.07119711484465668,0.0,0.0
339,Kapoeta North,Eastern Equatoria,2015,146527.0,0.017607676400936346,7.0,0.4777276542889707
340,Kapoeta South,Eastern Equatoria,2015,109765.0,-0.022666605930852277,0.0,0.0
341,Koch,Unity,2015,115691.0,0.07926286400843627,125.0,10.80464340354911
342,Lafon,Eastern Equatoria,2015,86583.0,-0.7149440421329822,3.0,0.3464883406673365
343,Lainya,Central Equatoria,2015,132662.0,0.05246415703064932,35.0,2.6382837587251813
344,Leer,Unity,2015,79520.0,0.06188380281690141,492.0,61.87122736418511
345,Longochuk,Upper Nile,2015,162036.0,0.4399022439457898,0.0,0.0
346,Luakpiny/Nasir,Upper Nile,2015,283397.0,-0.044993419125819965,29.0,1.0232994703543086
347,Maban,Upper Nile,2015,63719.0,0.027166151383417818,38.0,5.963684301385772
348,Magwi,Eastern Equatoria,2015,245674.0,0.03439517409249656,20.0,0.8140869607691493
349,Maiwut,Upper Nile,2015,120843.0,0.0580257027713645,0.0,0.0
350,Malakal,Upper Nile,2015,182700.0,0.023409961685823755,203.0,11.11111111111111
351,Manyo,Upper Nile,2015,52618.0,0.1176213463073473,88.0,16.724314873237297
352,Maridi,Western Equatoria,2015,116347.0,0.002054199936397157,53.0,4.555338771089929
353,Mayendit,Unity,2015,91282.0,0.20212090006792138,133.0,14.570232904625227
354,Mayom,Unity,2015,185773.0,0.063060832306094,81.0,4.360159980190878
355,Melut,Upper Nile,2015,73620.0,0.062401521325726704,62.0,8.421624558543874
356,Morobo,Central Equatoria,2015,136413.0,0.24878860519158733,6.0,0.4398407776384949
357,Mundri East,Western Equatoria,2015,85452.0,0.20180920282731826,14.0,1.6383466741562513
358,Mundri West,Western Equatoria,2015,61436.0,0.2260889380819064,90.0,14.64939123640862
359,Mvolo,Western Equatoria,2015,73196.0,0.06789988523963059,0.0,0.0
360,Nagero,Western Equatoria,2015,15405.0,0.08510223953261928,0.0,0.0
361,Nyirol,Jonglei,2015,168797.0,0.08913665527230934,28.0,1.6587972535056903
362,Nzara,Western Equatoria,2015,99151.0,0.06818892396445825,13.0,1.3111315064901008
363,Panyijiar,Unity,2015,74465.0,0.04001880077888941,32.0,4.297320889008259
364,Panyikang,Upper Nile,2015,33193.0,-0.8990751061970897,24.0,7.230440153044317
365,Pariang,Unity,2015,117272.0,0.012048911931236783,139.0,11.852786683948429
366,Pibor,Jonglei,2015,219406.0,0.04473897705623365,5.0,0.22788802494006546
367,Pochalla,Jonglei,2015,94153.0,0.006893035803426338,13.0,1.3807313627818552
368,Raga,Western Bahr el Ghazal,2015,70514.0,0.06848285446861616,31.0,4.396290098420172
369,Renk,Upper Nile,2015,204853.0,0.058251526704514944,35.0,1.7085422229598786
370,Rubkona,Unity,2015,158885.0,0.10985303836107876,116.0,7.300877993517324
371,Rumbek Centre,Lakes,2015,330992.0,0.3475310581524629,317.0,9.577270749746218
372,Rumbek East,Lakes,2015,105757.0,-0.6034399614209934,72.0,6.808059986572992
373,Rumbek North,Lakes,2015,56847.0,-0.0739001178602213,7.0,1.2313754463735993
374,Tambura,Western Equatoria,2015,78384.0,0.03361655439885691,0.0,0.0
375,Terekeka,Central Equatoria,2015,195018.0,0.037596529551118356,11.0,0.5640504979027577
376,Tonj East,Warrap,2015,179737.0,0.08684911843415657,90.0,5.007316245403006
377,Tonj North,Warrap,2015,247388.0,0.04558830662764564,65.0,2.627451614467961
378,Tonj South,Warrap,2015,121827.0,-0.009373948303742191,6.0,0.4925016621931099
379,Torit,Eastern Equatoria,2015,152296.0,0.07655486683826233,41.0,2.692125860167043
380,Twic,Warrap,2015,298720.0,0.043134038564542045,5.0,0.16738082485270486
381,Twic East,Jonglei,2015,117806.0,-0.017172300222399538,53.0,4.498921956436853
382,Ulang,Upper Nile,2015,120030.0,-0.006814962925935183,0.0,0.0
383,Uror,Jonglei,2015,264325.0,0.04829282133736877,0.0,0.0
384,Wau,Western Bahr el Ghazal,2015,249343.0,0.14271505516497354,80.0,3.208431758661763
385,Wulu,Lakes,2015,68055.0,0.13261332745573434,1.0,0.14693997502020426
386,Yambio,Western Equatoria,2015,209825.0,-0.02305254378648874,40.0,1.9063505302037411
387,Yei,Central Equatoria,2015,294972.0,0.05752410398275091,4.0,0.13560609142562682
388,Yirol East,Lakes,2015,117978.0,0.20408889793012255,0.0,0.0
389,Yirol West,Lakes,2015,100953.0,-0.46549384366982655,35.0,3.466959872415877
